game_id,season,game_type,week,gameday,away_team,away_score,home_team,home_score,home_win,home_completions_ewma,home_passing_yards_ewma,home_passing_tds_ewma,home_rushing_yards_ewma,home_sacks_suffered_ewma,home_rushing_tds_ewma,home_completion_pct_ewma,home_turnovers_offense_ewma,home_turnovers_defense_ewma,home_turnover_margin_ewma,home_def_tackles_for_loss_ewma,home_penalty_yards_ewma,home_fg_pct_ewma,home_pat_pct_ewma,away_completions_ewma,away_passing_yards_ewma,away_passing_tds_ewma,away_rushing_yards_ewma,away_sacks_suffered_ewma,away_rushing_tds_ewma,away_completion_pct_ewma,away_turnovers_offense_ewma,away_turnovers_defense_ewma,away_turnover_margin_ewma,away_def_tackles_for_loss_ewma,away_penalty_yards_ewma,away_fg_pct_ewma,away_pat_pct_ewma
2021_01_DAL_TB,2021,REG,1,2021-09-09,DAL,29.0,TB,31.0,1,32.0,379.0,4.0,52.0,0.0,0.0,0.64,4.0,1.0,-3.0,2.0,106.0,1.0,1.0,42.0,403.0,3.0,60.0,1.0,0.0,0.7241379310344828,1.0,2.0,1.0,0.0,55.0,0.6,0.6666666666666666
2021_01_PHI_ATL,2021,REG,1,2021-09-12,PHI,32.0,ATL,6.0,0,21.0,164.0,0.0,124.0,3.0,0.0,0.6,0.0,0.0,0.0,5.0,99.0,1.0,0.0,27.0,264.0,3.0,173.0,1.0,1.0,0.7714285714285715,0.0,0.0,0.0,6.0,89.0,1.0,1.0
2021_01_PIT_BUF,2021,REG,1,2021-09-12,PIT,23.0,BUF,16.0,0,30.0,270.0,1.0,117.0,3.0,0.0,0.5882352941176471,1.0,0.0,-1.0,4.0,81.0,1.0,1.0,18.0,188.0,1.0,75.0,2.0,0.0,0.5625,0.0,0.0,0.0,5.0,32.0,1.0,1.0
2021_01_NYJ_CAR,2021,REG,1,2021-09-12,NYJ,14.0,CAR,19.0,1,24.0,279.0,1.0,111.0,1.0,1.0,0.6857142857142857,1.0,1.0,0.0,6.0,38.0,1.0,0.5,20.0,258.0,2.0,45.0,6.0,0.0,0.5405405405405406,1.0,0.0,-1.0,4.0,30.0,0.0,0.0
2021_01_MIN_CIN,2021,REG,1,2021-09-12,MIN,24.0,CIN,27.0,1,20.0,261.0,2.0,149.0,5.0,1.0,0.7407407407407407,0.0,0.0,0.0,7.0,15.0,1.0,1.0,37.0,362.0,2.0,67.0,3.0,1.0,0.74,1.0,0.0,-1.0,7.0,116.0,1.0,1.0
2021_01_SF_DET,2021,REG,1,2021-09-12,SF,41.0,DET,33.0,0,38.0,338.0,3.0,116.0,3.0,1.0,0.6666666666666666,1.0,0.0,-1.0,1.0,45.0,0.5,1.0,18.0,319.0,2.0,131.0,1.0,2.0,0.6923076923076923,2.0,1.0,-1.0,8.0,79.0,0.6666666666666666,1.0
2021_01_JAX_HOU,2021,REG,1,2021-09-12,JAX,21.0,HOU,37.0,1,21.0,291.0,2.0,160.0,1.0,2.0,0.6363636363636364,0.0,3.0,3.0,2.0,50.0,1.0,1.0,28.0,332.0,3.0,76.0,1.0,0.0,0.5490196078431373,3.0,0.0,-3.0,2.0,82.0,0.0,1.0
2021_01_SEA_IND,2021,REG,1,2021-09-12,SEA,28.0,IND,16.0,0,25.0,251.0,2.0,113.0,3.0,0.0,0.6578947368421053,1.0,0.0,-1.0,4.0,16.0,1.0,1.0,18.0,254.0,4.0,140.0,3.0,0.0,0.782608695652174,1.0,0.0,-1.0,4.0,53.0,0.0,1.0
2021_01_ARI_TEN,2021,REG,1,2021-09-12,ARI,38.0,TEN,13.0,0,22.0,218.0,1.0,86.0,6.0,1.0,0.6111111111111112,3.0,1.0,-2.0,2.0,57.0,0.0,0.5,21.0,289.0,4.0,136.0,2.0,1.0,0.65625,1.0,1.0,0.0,7.0,59.0,0.5,1.0
2021_01_LAC_WAS,2021,REG,1,2021-09-12,LAC,20.0,WAS,16.0,0,14.0,135.0,1.0,126.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.0,4.0,57.0,0.75,1.0,31.0,337.0,1.0,90.0,2.0,1.0,0.6595744680851063,2.0,0.0,-2.0,2.0,94.0,1.0,1.0
